Referendum_ID,error,missing_info,function,time
1605,Connection to remote host was lost.,,collect_referendum,2025-08-12T19:57:05Z
1668,incomplete data after fallback,End,collect_referendum,2025-08-12T20:01:36Z
1679,incomplete data after fallback,End,collect_referendum,2025-08-12T20:02:17Z
1680,incomplete data after fallback,End,collect_referendum,2025-08-12T20:02:21Z
1681,incomplete data after fallback,End,collect_referendum,2025-08-12T20:02:24Z
1682,incomplete data after fallback,End,collect_referendum,2025-08-12T20:02:27Z
1684,incomplete data after fallback,End,collect_referendum,2025-08-12T20:02:34Z
1686,incomplete data after fallback,End,collect_referendum,2025-08-12T20:02:41Z
1688,incomplete data after fallback,End,collect_referendum,2025-08-12T20:02:48Z
1689,incomplete data after fallback,End,collect_referendum,2025-08-12T20:02:51Z
1691,incomplete data after fallback,End,collect_referendum,2025-08-12T20:03:00Z
1692,incomplete data after fallback,End,collect_referendum,2025-08-12T20:03:03Z
1693,incomplete data after fallback,End,collect_referendum,2025-08-12T20:03:06Z
1695,incomplete data after fallback,End,collect_referendum,2025-08-12T20:03:13Z
1696,incomplete data after fallback,End,collect_referendum,2025-08-12T20:03:16Z
1697,incomplete data after fallback,End,collect_referendum,2025-08-12T20:03:19Z
1698,incomplete data after fallback,End,collect_referendum,2025-08-12T20:03:22Z
1699,incomplete data after fallback,End,collect_referendum,2025-08-12T20:03:25Z
1700,incomplete data after fallback,End,collect_referendum,2025-08-12T20:03:28Z
1701,incomplete data after fallback,End,collect_referendum,2025-08-12T20:03:32Z
1702,incomplete data after fallback,End,collect_referendum,2025-08-12T20:03:35Z
1703,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-12T20:03:38Z
1704,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-12T20:03:40Z
1705,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-12T20:03:43Z
1706,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-12T20:03:45Z
1707,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-12T20:03:48Z
1702,incomplete data after fallback,End,collect_referendum,2025-08-12T20:49:39Z
1703,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-12T20:49:42Z
1704,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-12T20:49:44Z
1705,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-12T20:49:47Z
1706,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-12T20:49:50Z
1707,incomplete data after fallback,"Start, End, Status",collect_referendum,2025-08-12T20:49:52Z
1303,incomplete data after fallback,End,collect_referendum,2025-08-12T22:48:34Z
1346,incomplete data after fallback,End,collect_referendum,2025-08-12T22:51:22Z
1349,incomplete data after fallback,Content,collect_referendum,2025-08-12T22:51:34Z
1668,incomplete data after fallback,End,collect_referendum,2025-08-12T23:34:29Z
1679,incomplete data after fallback,End,collect_referendum,2025-08-12T23:35:10Z
1680,incomplete data after fallback,End,collect_referendum,2025-08-12T23:35:14Z
1681,incomplete data after fallback,End,collect_referendum,2025-08-12T23:35:17Z
1682,incomplete data after fallback,End,collect_referendum,2025-08-12T23:35:20Z
1684,incomplete data after fallback,End,collect_referendum,2025-08-12T23:35:27Z
1686,incomplete data after fallback,End,collect_referendum,2025-08-12T23:35:34Z
1688,incomplete data after fallback,End,collect_referendum,2025-08-12T23:35:41Z
1689,incomplete data after fallback,End,collect_referendum,2025-08-12T23:35:44Z
1691,incomplete data after fallback,End,collect_referendum,2025-08-12T23:35:53Z
1692,incomplete data after fallback,End,collect_referendum,2025-08-12T23:35:56Z
1693,incomplete data after fallback,End,collect_referendum,2025-08-12T23:35:59Z
1695,incomplete data after fallback,End,collect_referendum,2025-08-12T23:36:07Z
1696,incomplete data after fallback,End,collect_referendum,2025-08-12T23:36:10Z
1697,incomplete data after fallback,End,collect_referendum,2025-08-12T23:36:13Z
1698,incomplete data after fallback,End,collect_referendum,2025-08-12T23:36:16Z
